  PID TTY          TIME CMD
 1284 ?        00:00:00 apache2
 1295 ?        00:00:00 whoopsie
 1297 ?        00:00:00 kerneloops
 1299 ?        00:00:00 kerneloops
 1308 ?        00:00:00 systemd
 1310 ?        00:00:00 (sd-pam)
 1332 tty1     00:00:00 gdm-wayland-ses
 1334 ?        00:00:00 dbus-daemon
 1336 tty1     00:00:00 gnome-session-b
 1342 tty1     00:00:06 gnome-shell
 1349 ?        00:00:00 upowerd
 1376 tty1     00:00:00 Xwayland
 1388 ?        00:00:00 at-spi-bus-laun
 1393 ?        00:00:00 dbus-daemon
 1395 ?        00:00:00 at-spi2-registr
 1399 ?        00:00:00 pulseaudio
 1400 ?        00:00:00 rtkit-daemon
 1418 tty1     00:00:00 ibus-daemon
 1421 tty1     00:00:00 ibus-dconf
 1423 tty1     00:00:00 ibus-x11
 1426 ?        00:00:00 ibus-portal
 1431 ?        00:00:00 xdg-permission-
 1442 ?        00:00:00 boltd
 1443 ?        00:00:08 packagekitd
 1447 tty1     00:00:00 gsd-xsettings
 1450 tty1     00:00:00 gsd-a11y-settin
 1451 tty1     00:00:00 gsd-clipboard
 1452 tty1     00:00:01 gsd-color
 1455 tty1     00:00:00 gsd-datetime
 1456 tty1     00:00:00 gsd-housekeepin
 1457 tty1     00:00:00 gsd-keyboard
 1459 tty1     00:00:00 gsd-media-keys
 1461 tty1     00:00:00 gsd-mouse
 1463 tty1     00:00:00 gsd-power
 1464 tty1     00:00:00 gsd-print-notif
 1467 tty1     00:00:00 gsd-rfkill
 1468 tty1     00:00:00 gsd-screensaver
 1472 tty1     00:00:00 gsd-sharing
 1476 tty1     00:00:00 gsd-smartcard
 1478 tty1     00:00:00 gsd-sound
 1481 tty1     00:00:00 gsd-wacom
 1498 tty1     00:00:00 ibus-engine-sim
 1537 ?        00:00:00 colord
 1568 ?        00:00:00 gdm-session-wor
 1572 ?        00:00:00 systemd
 1573 ?        00:00:00 (sd-pam)
 1586 ?        00:00:00 gnome-keyring-d
 1590 tty2     00:00:00 gdm-x-session
 1592 tty2     00:04:56 Xorg
 1602 ?        00:00:00 dbus-daemon
 1605 tty2     00:00:00 gnome-session-b
 1700 ?        00:00:00 ssh-agent
